feature,importance,std
chronic_conditions,0.156482224004277,0.03155124717029306
followup_scheduled,0.07687784014969269,0.02593886993083601
prior_admissions_12m,0.04228815824645826,0.02279961936960302
transportation_barrier,0.03806468858593967,0.01857943951373177
primary_condition,0.020689655172413873,0.023974193348586748
age,0.016091954022988575,0.009326566810038588
prior_ed_visits_12m,0.01144079123229095,0.01879646227562112
medication_count,0.0009623095429030467,0.004613216146443126
home_health_referral,8.141635513917814e-17,0.00560200455383254
rural_distance_miles,-0.0017642341619886462,0.002718670330947043
lives_alone,-0.002298850574712567,0.010426527831525336
sex,-0.003154236835070723,0.0041355957456966266
length_of_stay,-0.007163859930499765,0.007133473960597063
